Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-01-01 00:00:00-05:00,256.0199890136719,261.2099914550781,242.8699951171875,257.4700012207031,0,0.0,0.0
1988-02-01 00:00:00-05:00,255.50999450683594,269.4800109863281,250.10000610351562,269.4800109863281,0,0.0,0.0
1988-03-01 00:00:00-05:00,269.44000244140625,273.2699890136719,260.2799987792969,261.1499938964844,0,0.0,0.0
1988-04-01 00:00:00-05:00,258.4100036621094,274.1099853515625,258.4100036621094,264.0400085449219,0,0.0,0.0
1988-05-01 00:00:00-04:00,264.3299865722656,266.32000732421875,254.5800018310547,266.32000732421875,0,0.0,0.0
1988-06-01 00:00:00-04:00,270.95001220703125,280.4599914550781,269.55999755859375,278.5400085449219,0,0.0,0.0
1988-07-01 00:00:00-04:00,276.8599853515625,281.04998779296875,267.760009765625,277.489990234375,0,0.0,0.0
1988-08-01 00:00:00-04:00,277.760009765625,278.67999267578125,263.17999267578125,268.07000732421875,0,0.0,0.0
1988-09-01 00:00:00-04:00,264.8500061035156,280.17999267578125,264.8500061035156,279.489990234375,0,0.0,0.0
1988-10-01 00:00:00-04:00,279.0899963378906,291.8699951171875,278.3500061035156,287.2699890136719,0,0.0,0.0
1988-11-01 00:00:00-05:00,287.510009765625,287.7099914550781,272.6000061035156,283.17999267578125,0,0.0,0.0
1988-12-01 00:00:00-05:00,281.95001220703125,289.80999755859375,281.30999755859375,288.1199951171875,0,0.0,0.0
1989-01-01 00:00:00-05:00,285.6499938964844,309.2099914550781,285.6499938964844,309.2099914550781,0,0.0,0.0
1989-02-01 00:00:00-05:00,308.8599853515625,311.92999267578125,299.55999755859375,301.510009765625,0,0.0,0.0
1989-03-01 00:00:00-05:00,299.7699890136719,313.0299987792969,299.7699890136719,308.5400085449219,0,0.0,0.0
1989-04-01 00:00:00-05:00,310.2099914550781,324.55999755859375,309.2099914550781,324.55999755859375,0,0.0,0.0
1989-05-01 00:00:00-04:00,324.1099853515625,338.9200134277344,320.739990234375,337.69000244140625,0,0.0,0.0
1989-06-01 00:00:00-04:00,339.25,346.7200012207031,335.7799987792969,335.7799987792969,0,0.0,0.0
1989-07-01 00:00:00-04:00,337.19000244140625,366.1000061035156,337.19000244140625,366.1000061035156,0,0.0,0.0
1989-08-01 00:00:00-04:00,363.7699890136719,373.8500061035156,361.4700012207031,373.25,0,0.0,0.0
1989-09-01 00:00:00-04:00,375.7799987792969,375.7799987792969,364.8299865722656,371.739990234375,0,0.0,0.0
1989-10-01 00:00:00-04:00,373.5899963378906,383.3399963378906,355.489990234375,363.1099853515625,0,0.0,0.0
1989-11-01 00:00:00-05:00,364.010009765625,370.510009765625,355.19000244140625,370.510009765625,0,0.0,0.0
1989-12-01 00:00:00-05:00,375.5199890136719,379.4100036621094,367.2699890136719,379.4100036621094,0,0.0,0.0
1990-01-01 00:00:00-05:00,386.1600036621094,386.1600036621094,347.3800048828125,353.94000244140625,0,0.0,0.0
1990-02-01 00:00:00-05:00,353.67999267578125,361.2300109863281,349.8999938964844,358.5,0,0.0,0.0
1990-03-01 00:00:00-05:00,359.4599914550781,371.55999755859375,359.4599914550781,368.0,0,0.0,0.0
1990-04-01 00:00:00-05:00,366.7200012207031,373.6099853515625,356.8800048828125,358.82000732421875,0,0.0,0.0
1990-05-01 00:00:00-04:00,360.4800109863281,393.79998779296875,360.4800109863281,393.79998779296875,0,0.0,0.0
1990-06-01 00:00:00-04:00,395.94000244140625,400.6400146484375,384.5199890136719,391.1400146484375,0,0.0,0.0
1990-07-01 00:00:00-04:00,392.80999755859375,403.4599914550781,386.70001220703125,389.8900146484375,0,0.0,0.0
1990-08-01 00:00:00-04:00,389.2200012207031,389.2200012207031,337.2200012207031,354.6499938964844,0,0.0,0.0
1990-09-01 00:00:00-04:00,355.32000732421875,356.75,331.7900085449219,337.3900146484375,0,0.0,0.0
1990-10-01 00:00:00-04:00,347.29998779296875,347.6000061035156,326.0799865722656,335.95001220703125,0,0.0,0.0
1990-11-01 00:00:00-05:00,339.3500061035156,357.6700134277344,338.80999755859375,357.6700134277344,0,0.0,0.0
1990-12-01 00:00:00-05:00,360.0,368.9100036621094,360.0,367.6300048828125,0,0.0,0.0
1991-01-01 00:00:00-05:00,363.44000244140625,383.6400146484375,347.0199890136719,383.6400146484375,0,0.0,0.0
1991-02-01 00:00:00-05:00,382.67999267578125,413.239990234375,382.67999267578125,411.0799865722656,0,0.0,0.0
1991-03-01 00:00:00-05:00,414.9200134277344,422.2300109863281,411.0799865722656,421.0299987792969,0,0.0,0.0
1991-04-01 00:00:00-05:00,416.739990234375,438.6499938964844,416.739990234375,422.0299987792969,0,0.0,0.0
1991-05-01 00:00:00-04:00,427.5899963378906,440.239990234375,415.42999267578125,440.239990234375,0,0.0,0.0
1991-06-01 00:00:00-04:00,438.3800048828125,438.3800048828125,419.3599853515625,420.07000732421875,0,0.0,0.0
1991-07-01 00:00:00-04:00,427.7300109863281,439.6499938964844,422.7099914550781,439.6499938964844,0,0.0,0.0
1991-08-01 00:00:00-04:00,438.8900146484375,451.29998779296875,428.010009765625,450.05999755859375,0,0.0,0.0
1991-09-01 00:00:00-04:00,446.3900146484375,446.3900146484375,437.0299987792969,442.5299987792969,0,0.0,0.0
1991-10-01 00:00:00-04:00,444.0799865722656,449.04998779296875,430.2200012207031,448.4800109863281,0,0.0,0.0
1991-11-01 00:00:00-05:00,447.20001220703125,455.25,430.4100036621094,430.4100036621094,0,0.0,0.0
